iter	Poisson
589	-323.2741251
590	-323.3284768
591	-323.4555021
592	-323.4878767
593	-323.5931673
594	-323.652852
595	-323.725214
596	-323.7620575
597	-323.8572741
598	-323.8960502
599	-323.9769352
600	-324.0440152
601	-324.1078762
602	-324.1289971
603	-324.3007565
604	-324.3670695
605	-324.4227256
606	-324.5253735
607	-324.6557783
608	-324.7439169
609	-324.8873063
610	-324.94474
611	-324.988934
612	-325.0777928
613	-325.1662149
614	-325.2341406
615	-325.2983224
616	-325.3549082
617	-325.4031078
618	-325.4928364
619	-325.5633389
620	-325.606701
621	-325.6625536
622	-325.6933548
623	-325.7355356
624	-325.7838333
625	-325.8091829
626	-325.8761289
627	-325.9913735
628	-326.0835692
629	-326.1575877
630	-326.2545862
631	-326.3254099
632	-326.3844387
633	-326.4164211
634	-326.4622301
635	-326.5267668
636	-326.576885
637	-326.6092035
638	-326.6590307
639	-326.692167
640	-326.7528353
641	-326.7975774
642	-326.932445
643	-326.9823535
644	-327.0368571
645	-327.1425747
646	-327.1793064
647	-327.2053945
648	-327.2659752
649	-327.3248
650	-327.5225261
651	-327.6390787
652	-327.68901
653	-327.7311422
654	-327.8197287
655	-327.8368151
656	-327.9207079
657	-327.9555348
658	-327.973205
659	-328.0112709
660	-328.0827133
661	-328.122557
662	-328.2198768
663	-328.3089154
664	-328.4034599
665	-328.5748961
666	-328.6618525
667	-328.717852
668	-328.755056
669	-328.7907873
670	-328.8789806
671	-328.9266028
672	-328.9413414
673	-329.0128479
674	-329.0460752
675	-329.1556445
676	-329.2347626
677	-329.2773988
678	-329.3480436
679	-329.454317
680	-329.5224808
681	-329.6322957
682	-329.6778459
683	-329.7486145
684	-329.7741223
685	-329.8861072
686	-329.9816312
687	-330.0566843
688	-330.1089215
689	-330.1493235
690	-330.2593001
691	-330.4544246
692	-330.4750078
693	-330.4933628
694	-330.5924148
695	-330.6731469
696	-330.7309098
697	-330.7745354
698	-330.8466916
699	-330.9146486
700	-330.991693
701	-331.0458749
702	-331.1046929
703	-331.1816242
704	-331.288954
705	-331.3430251
706	-331.3724866
707	-331.4420689
708	-331.4986194
709	-331.5448663
710	-331.573098
711	-331.6103513
712	-331.6853041
713	-331.7381341
714	-331.8011181
715	-331.8425328
716	-331.8607262
717	-331.9251783
718	-332.01674
719	-332.041588
720	-332.0912515
721	-332.1207099
722	-332.174442
723	-332.2082154
724	-332.2673396
725	-332.3092955
726	-332.3789525
727	-332.565688
728	-332.6301939
